839 21652 3817 17835 38378
840 21683 3888 17795 38329
841 21735 3935 17800 38248
842 21784 3975 17809 38234
843 21840 4027 17813 38158
844 21806 4014 17792 38133
845 21864 4055 17809 38060
846 21986 4029 17957 37960
847 21964 3965 17999 37896
848 21999 3981 18018 37877
849 22079 3992 18087 37820
850 22069 3989 18080 37779
851 21971 3928 18043 37745
852 22030 4001 18029 37639
853 22064 3957 18107 37619
854 22039 3932 18107 37621
855 22029 3889 18140 37592
856 21978 3861 18117 37605
857 21986 3857 18129 37531
858 22065 3901 18164 37420
859 22075 3997 18078 37302
860 22035 3988 18047 37233
861 22028 3984 18044 37205
862 22022 3975 18047 37147
863 21918 3841 18077 37101
864 21914 3845 18069 37118
865 21933 3881 18052 37074
866 21925 3864 18061 37074
867 21941 3917 18024 37027
868 21888 3900 17988 37024
869 21879 3910 17969 37016
870 21805 3880 17925 37001
871 21749 3767 17982 37023
872 21733 3803 17930 37128
873 21700 3832 17868 37087
874 21645 3831 17814 37058
875 21571 3858 17713 37121
876 21561 3842 17719 37120
877 21592 3871 17721 36991
878 21599 3922 17677 37014
879 21597 3948 17649 36946
880 21549 3851 17698 37001
881 21557 3890 17667 37006
882 21594 3899 17695 36924
883 21604 3856 17748 36907
884 21502 3846 17656 36960
885 21441 3855 17586 36953
886 21346 3775 17571 37058
887 21302 3703 17599 37103
888 21363 3776 17587 37095
889 21411 3803 17608 37046
890 21410 3890 17520 37050
891 21299 3813 17486 37182
892 21318 3809 17509 37286
893 21269 3812 17457 37308
894 21262 3812 17450 37310
895 21262 3816 17446 37357
896 21277 3868 17409 37334
897 21235 3832 17403 37430
898 21223 3809 17414 37461
899 21332 3923 17409 37443
900 21359 3889 17470 37502
901 21317 3848 17469 37508
902 21211 3777 17434 37612
903 21159 3722 17437 37657
904 21203 3686 17517 37724
905 21165 3677 17488 37853
906 21226 3682 17544 37896
907 21248 3807 17441 37853
908 21231 3808 17423 37902
909 21236 3802 17434 37992
910 21169 3827 17342 38001
911 21158 3848 17310 38024
912 21103 3790 17313 38032
913 21139 3789 17350 38048
914 21182 3833 17349 38087
915 21240 3872 17368 38036
916 21259 3851 17408 38041
917 21183 3813 17370 38142
918 21175 3781 17394 38127
919 21185 3804 17381 38107
920 21257 3901 17356 38060
921 21208 3911 17297 38097
922 21192 3864 17328 38185
923 21216 3795 17421 38234
924 21257 3799 17458 38303
925 21260 3808 17452 38332
926 21321 3825 17496 38322
927 21411 3888 17523 38290
928 21446 3874 17572 38311
929 21432 3877 17555 38316
930 21521 3894 17627 38353
931 21531 3905 17626 38306
932 21574 3931 17643 38305
933 21529 3948 17581 38277
934 21547 3862 17685 38221
935 21492 3878 17614 38221
936 21584 3870 17714 38215
937 21622 3908 17714 38168
938 21589 3913 17676 38230
939 21559 3890 17669 38244
940 21602 3920 17682 38138
941 21662 3931 17731 38097
942 21640 3892 17748 38085
943 21633 3843 17790 38108
944 21664 3881 17783 38001
945 21716 3924 17792 38044
946 21701 3909 17792 38040
947 21680 3907 17773 37992
948 21655 3873 17782 37937
949 21662 3844 17818 37883
950 21684 3878 17806 37882
951 21717 3863 17854 37861
952 21740 3952 17788 37777
953 21707 3928 17779 37746
954 21756 3980 17776 37627
955 21755 3939 17816 37587
956 21773 3893 17880 37544
957 21731 3853 17878 37591
958 21829 3926 17903 37512
959 21757 3920 17837 37519
960 21775 3934 17841 37463
961 21741 3880 17861 37406
962 21681 3854 17827 37380
963 21724 3912 17812 37330
964 21784 3879 17905 37364
965 21768 3828 17940 37341
966 21734 3892 17842 37338
967 21679 3852 17827 37342
968 21698 3874 17824 37336
969 21679 3892 17787 37387
970 21730 3977 17753 37263
971 21742 3927 17815 37286
972 21630 3894 17736 37271
973 21675 3913 17762 37231
974 21698 3898 17800 37264
975 21742 3941 17801 37270
976 21743 3973 17770 37229
977 21681 3904 17777 37254
978 21707 3876 17831 37266
979 21705 3830 17875 37279
980 21692 3779 17913 37332
981 21632 3800 17832 37348
982 21658 3900 17758 37289
983 21649 3869 17780 37252
984 21642 3802 17840 37258
985 21670 3829 17841 37216
986 21609 3823 17786 37238
987 21561 3857 17704 37232
988 21562 3761 17801 37261
989 21517 3831 17686 37260
990 21469 3832 17637 37327
991 21485 3863 17622 37300
992 21476 3835 17641 37309
993 21434 3831 17603 37323
994 21366 3776 17590 37350
995 21399 3752 17647 37343
996 21423 3776 17647 37325
997 21321 3768 17553 37463
998 21219 3756 17463 37556
999 21153 3671 17482 37672
1000 21156 3706 17450 37730
1001 21149 3754 17395 37799
